ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Regular price,Categories,Images,Position
,simple,course-0-6-bilood,0-6 Bilood Jir,1,0,visible,Ilmaha 0-6 bilood jir barbaarinta,Koorsadan waxay ku baraysaa sida loo xannaaneeyo ilmaha yar ee 0-6 bilood jir. Waxay ka kooban tahay casharrada muhiimka ah ee horumarinta ilmaha.,,30,Koorsooyinka Guud ee da'da ilmaha,,1
,simple,course-6-12-bilood,6-12 Bilood Jir,1,0,visible,Ilmaha 6-12 bilood jir barbaarinta,Koorsadan waxay ku baraysaa sida loo xannaaneeyo ilmaha 6-12 bilood jir. Waxay ka kooban tahay casharrada muhiimka ah.,,30,Koorsooyinka Guud ee da'da ilmaha,,2
,simple,course-1-2-sano,1-2 Sano Jir,1,0,visible,Ilmaha 1-2 sano jir barbaarinta,Koorsadan waxay ku baraysaa sida loo xannaaneeyo ilmaha 1-2 sano jir. Waxay ka kooban tahay casharrada muhiimka ah.,,30,Koorsooyinka Guud ee da'da ilmaha,,3
,simple,course-2-4-sano,2-4 Sano Jir,1,0,visible,Ilmaha 2-4 sano jir barbaarinta,Koorsadan waxay ku baraysaa sida loo xannaaneeyo ilmaha 2-4 sano jir. Waxay ka kooban tahay casharrada muhiimka ah.,,30,Koorsooyinka Guud ee da'da ilmaha,,4
,simple,course-4-7-sano,4-7 Sano Jir,1,0,visible,Ilmaha 4-7 sano jir barbaarinta,Koorsadan waxay ku baraysaa sida loo xannaaneeyo ilmaha 4-7 sano jir. Waxay ka kooban tahay casharrada muhiimka ah.,,30,Koorsooyinka Guud ee da'da ilmaha,,5
,simple,course-ilmo-is-dabira,Koorsada Ilmo Is-Dabira,1,0,visible,Baro sida ilmaha loo baro inuu is-dabiro,Koorsadan waxay ku baraysaa sida ilmaha loo baro inuu wax iska qabto - cuntada, dharka, suuxinta iwm.,,30,Koorsooyin Gaar ah,,6
,simple,course-autism,Koorsada Ilmaha Hadalka ka soo Daaho,1,0,visible,Faham autism iyo sida loo caawiyo,Koorsadan waxay ku baraysaa fahamka autism iyo sida loo caawiyo ilmaha leh. Waxay ka kooban tahay tilmaamo muhiim ah.,,30,Koorsooyin Gaar ah,,7
,simple,course-caqli-sare,Koorsada Ilmo Caqli Sare leh,1,0,visible,Sida loo kordhiyo caqliga ilmaha,Koorsadan waxay ku baraysaa sida loo kordhiyo caqliga ilmaha iyo sida loo horumarriyo.,,30,Koorsooyin Gaar ah,,8
,simple,course-aabe,Koorsada Aabe Baraarugay,1,0,visible,Doorka aabaha barbaarinta,Koorsadan waxay ku baraysaa doorka muhiimka ah ee aabaha barbaarinta ilmaha.,,30,Koorsooyin Gaar ah,,9
,simple,course-khilaaf,Koorsada Badqabka Qoyska iyo Xalinta Khilaafka,1,0,visible,Sida loo xalliyo khilaafka qoyska,Koorsadan waxay ku baraysaa sida loo xalliyo khilaafka qoyska iyo sida loo ilaaliyo nabadda guriga.,,30,Koorsooyin Gaar ah,,10
,simple,course-all-access,Isticmaalka Dhammaan Koosooyinka (All-Access),1,1,visible,Hel dhammaan koorsoyada sanadka oo dhan,Xubin dahabi - waxaad heli doontaa dhammaan 10-ka koorsooyinka sanadka oo dhan!,,50,Koorsooyin Gaar ah,,11
